org_name,org_name_spanish,org_website,org_languages_spoken,org_languages_spoken_spanish,org_customers_served,org_customers_served_spanish,org_notes,org_notes_spanish,org_categories,org_categories_spanish,org_tags,org_tags_spanish,org_locations,org_services,org_schedule,org_id,locations_id,locations_city,location_address,location_address_2,location_name,location_name_spanish,location_state,location_email,location_zip,location_phone,location_website,location_notes,location_notes_spanish,location_services,location_services_spanish,location_latitude,location_longitude,services_names,services_id,schedule_location_name,schedule_locations_id,schedule_open_time,schedule_close_time,schedule_ordinal_open,schedule_day,schedule_day_spanish,schedule_notes,schedule_notes_spanish,Field 46,locations,locations 2,locations 3,locations 4
Aegis,Égida,https://pinnacletreatment.com/location/california/santa-barbara/aegis-treatment-centers/,English,inglés,,,Medically assisted outpatient treatment with group and  individual counseling available. ,Tratamiento ambulatorio con asistencia médica con asesoramiento individual y grupal disponible.,substance use,uso de sustancias,"aegis,medically,assisted,outpatient,treatment,group,individual,counseling,available,english,93110,santa barbara,outpatient treatment,93454,santa maria,unnamed service,outpatient counseling,rehab,4129 state street ,115 e. fesler street,substance use","aegis,médicamente,asistido,ambulatorio,tratamiento,grupal,individual,consejería,disponible,inglés,93110,santa barbara,tratamiento ambulatorio,93454,santa maria,servicio sin nombre,consejería ambulatoria,rehabilitación,4129 state street,115 e. calle fesler,uso de sustancias","Santa Barbara,Santa Maria","Rehab,Outpatient Counseling",,858,"44, 168","Santa Barbara, Santa Maria","4129 State Street , 115 E. Fesler Street",,,,"CA, CA",,"93110, 93454","(805) 964-4795, (805) 922-6597",,,,"Rehab, Outpatient Counseling;Rehab, Outpatient Counseling","Rehabilitación, asesoramiento para pacientes ambulatorios; rehabilitación, asesoramiento para pacientes ambulatorios","34.44015130, 34.95676540","-119.76074510, -120.43502040","Rehab, Outpatient Counseling","86, 8",,,,,;,;,;,;,;,,,,,
AHA! Attitude. Harmony. Achievement,¡AHA! Actitud. Armonía. Logro,https://www.guidestar.org/profile/20-4418873,English,inglés,,,"Inspiring youth to feel safe, seen, celebrated, and emotionally connected","Inspirar a los jóvenes a sentirse seguros, vistos, celebrados y conectados emocionalmente","community support,resource directory,social services","apoyo comunitario,directorio de recursos,servicios sociales","aha! attitude. harmony. achievement,english,93101,santa barbara,1290 de la vina street,community support,resource directory,social services,childcare ,mentorship","¡Ajá! actitud. armonía. logro,inglés,93101,santa barbara,1290 de la vina street,apoyo comunitario,directorio de recursos,servicios sociales,cuidado de niños,tutoría",Santa Barbara,"Childcare ,Mentorship",,1258,722,Santa Barbara,1290 De La Vina Street,,,,CA,,93101,(805) 770-7200,,,,"Childcare , Mentorship","Cuidado de niños, tutoría",34.42225460,-119.70786130,"Childcare , Mentorship","32, 85",,,,,,,,,,,,,,
Alameda Park,Parque de la Alameda,,English,inglés,,,,,food,comida,"alameda park,english,93101,santa barbara,dinner,1400 santa barbara street,food","cena,1400 santa barbara street,inglés,93101,parque alameda,santa barbara",Santa Barbara,Dinner,"17:30,18:00",1199,628,Santa Barbara,1400 Santa Barbara Street,,,,CA,,93101,,,,,Dinner,Cena,34.42844470,-119.70543210,Dinner,47,Santa Barbara;Santa Barbara,"628, 628","17:30, 18:00","17:30, 18:00",;,Wed;Thu,Mié; jue,Wednesday Dinner;Thursday Dinner,Cena del miércoles; Cena del jueves,,,,,
Alano Club,Alano Club,,English,inglés,"LGBTQ, Women","LGBTQ, Mujeres","Sun 11am (LGBTQ)
Mon 12pm (Beginners), 6pm (Women
Tue 8pm (Young People),8pm (Q&A)
Friday 12pm (Women), 5:30pm (Women), 10pm (Women)

All other times listed are open to everyone
","Dom 11 a.m. (LGBTQ) Lunes 12 p.m. (Principiantes), 6 p.m. (Mujeres Martes 8 p.m. (Jóvenes), 8 p.m. (Preguntas y respuestas) Viernes 12 p.m. (Mujeres), 5:30 p.m. (Mujeres), 10 p.m. (Mujeres) Todos los demás horarios indicados están abiertos para todos",substance use,uso de sustancias,"alano club,lgbtq,women,sun,11am,lgbtqmon,12pm,beginners,6pm,womentue,8pm,young,people8pm,qafriday,530pm,10pm,womenall,times,listed,open,everyone,english,93105,santa barbara,mon,tue,wed,thu,fri,sat,alcoholic anonymous,thur,alcoholics anonymous,2964 las canoas road,93436,lompoc,119 n. d street,substance use","alano club,lgbtq,mujeres,dom,11 a. m.,lgbtqmon,12 p. m.,principiantes,6 p. m.,mujer,8 p. m.,joven,gente 8 p. m.,qafriday,530 p. m.,10 p. lun,mar,mié,jue,vie,sáb,alcohólico anónimo,alcohólicos anónimos,2964 las canoas road,93436,lompoc,119 n. d calle,uso de sustancias","Santa Barbara,Lompoc,Lompoc",Alcoholics Anonymous,"11:00,12:15,17:30,20:00,12:00,18:00,22:00,12:00,12:00,20:00,20:00,17:30,07:00,19:00,10:00,22:00,10:30,16:00,16:00,19:00,12:00,12:00,10:30,17:30",897,"88, 153, 680","Santa Barbara, Lompoc, Lompoc","2964 Las Canoas Road, 119 N. D Street, 119 N. D Street",,,,"CA, CA, CA",,"93105, 93436, 93436",,,,,Alcoholics Anonymous;Alcoholics Anonymous;,"Alcohólicos Anónimos, Alcohólicos Anónimos;","34.45292240, 34.63975370, 34.63975370","-119.70826930, -120.45302310, -120.45302310",Alcoholics Anonymous,34,Santa Barbara;Santa Barbara;Santa Barbara;Santa Barbara;Santa Barbara;Santa Barbara;Santa Barbara;Santa Barbara;Santa Barbara;Santa Barbara;Santa Barbara;Santa Barbara;Santa Barbara;Santa Barbara;Santa Barbara;Santa Barbara;Lompoc;Lompoc;Lompoc;Lompoc;Lompoc;Lompoc;Lompoc;Lompoc,"88, 88, 88, 88, 88, 88, 88, 88, 88, 88, 88, 88, 88, 88, 88, 88, 153, 153, 153, 153, 153, 153, 153, 153","11:00, 12:15, 17:30, 20:00, 12:00, 18:00, 22:00, 12:00, 12:00, 20:00, 20:00, 17:30, 07:00, 19:00, 10:00, 22:00, 10:30, 16:00, 16:00, 19:00, 12:00, 12:00, 10:30, 17:30","12:00, 13:15, 18:30, 21:00, 13:00, 19:00, 23:00, 13:00, 13:00, 21:00, 21:00, 18:30, 08:00, 20:00, 11:00, 23:00, 11:30, 17:00, 17:00, 20:00, 13:00, 13:00, 11:30, 18:30",;;;;;;;;;;;;;;;;;;;;;;;;,"Sun;Sun;Sun, Mon, Tue, Wed, Thu, Fri, Sat;Sun, Mon, Tue, Wed, Thu, Fri, Sat;Tue, Wed, Thu, Fri, Sat;Mon;Fri;Mon;Fri;Tue;Sun, Mon, Tue, Wed, Thu;Fri;Tue, Wed, Thur, Fri, Sat;Wed;Sat;Sat;Sun;Sun;Sat;Sun, Mon, Fri;Mon, Tue, Wed;Thu;Fri;Tue, Thu;","Dom; dom; dom, lun, mar, mié, jue, vie, sáb; dom, lun, mar, mié, jue, vie, sáb; mar, mié, jue, vie, sáb; lun; vie; lun; vie; Mar; dom, lun, mar, mié, jue; vie; mar, mié, jue, vie, sáb; mié; sáb; sáb; dom; dom; sáb; dom, lun, vie; lun, mar, mié; jue; Vie; mar, jue;",LGBTQ;Women;Beginners;Women;Young People;Q&A;Women;10th Step;Big Book;Women;,LGBTQ; Mujeres; Principiantes; Mujeres; Jóvenes; Preguntas y respuestas; Mujeres; Décimo Paso; Libro Grande; Mujeres;,,,,,
All Saints Friendship Center,Centro de la Amistad de Todos los Santos,http://www.friendshipcentersb.org/,English,inglés,,,,,substance use,uso de sustancias,"all saints friendship center,english,93108,santa barbara,sun,mon,tue,wed,thur,fri,sat,alcoholic anonymous,alcoholics anonymous,83 eucalyptus lane,substance use","centro de la amistad de todos los santos,inglés,93108,santa barbara,dom,lun,mar,mié,jueves,viernes,sábado,alcohólico anónimo,alcohólicos anónimos,83 eucalyptus lane,uso de sustancias",Santa Barbara,Alcoholics Anonymous,"7:30,19:00,10:00,17:30 ,20:00,18:30,10:00,10:00,10:00,10:30",906,98,Santa Barbara,83 Eucalyptus Lane,,,,CA,,93108,,,,,Alcoholics Anonymous,alcoholicos anonimos,34.42103310,-119.63121740,Alcoholics Anonymous,34,Santa Barbara;Santa Barbara;Santa Barbara;Santa Barbara;Santa Barbara;Santa Barbara;Santa Barbara;Santa Barbara;Santa Barbara;Santa Barbara,"98, 98, 98, 98, 98, 98, 98, 98, 98, 98","7:30, 19:00, 10:00, 17:30 , 20:00, 18:30, 10:00, 10:00, 10:00, 10:30","8:30, 20:00, 11:00, 18:30, 21:00, 19:30, 11:00, 11:00, 11:00, 11:00",;;;;;;;;;,"Sun, Mon, Tue, Wed, Thu, Fri, Sat;Sun;Mon;Mon;Thur;Sat;Wed;Fri;Sat;Mon","Dom, lun, mar, mié, jue, vie, sáb; dom; lun; lun; jue; sáb; mié; vie; sáb; lun",8387;San Ysidro Group;Monday at a Time;Happy Destiny;Key Group;11th Step;Do it Sober;Almost Saints;As Bill Sees It,8387; Grupo San Ysidro; Lunes a la vez; Destino feliz; Grupo clave; Paso 11; Hazlo sobrio; Casi santos; Como lo ve Bill,,,,,
All Star,All Star,,English,inglés,,,,,substance use,uso de sustancias,"all star,english,93111,santa barbara,thu,alcoholics anonymous,5018 calle real ,substance use","all star,ingles,93111,santa barbara,jue,alcohólicos anónimos,5018 calle real,uso de sustancias",Santa Barbara,Alcoholics Anonymous,20:00,949,128,Santa Barbara,5018 Calle Real ,,,,CA,,93111,,,,,Alcoholics Anonymous,alcoholicos anonimos,34.44205690,-119.79762530,Alcoholics Anonymous,34,Santa Barbara,128,20:00,21:00,,Thu,Jue,,,,,,,
Allan Hancock College / Veteran Success Center,Allan Hancock College / Veteran Success Center,https://www.hancockcollege.edu/,English,inglés,,,"Allan Hancock College is a California public community college located in northern Santa Barbara County.

Allan Hancock College provides multi-faceted assistance to prospective and  enrolled student-veterans, and prospective and enrolled  student-veteran dependents.

In addition, services are available to all veterans and their families.","Allan Hancock College es un colegio comunitario público de California ubicado en el norte del condado de Santa Bárbara. Allan Hancock College brinda asistencia multifacética a los estudiantes veteranos potenciales y matriculados, y a los dependientes estudiantes veteranos potenciales y matriculados. Además, los servicios están disponibles para todos los veteranos y sus familias.","employment,community support","empleo,apoyo comunitario","allan hancock college / veteran success center,allan hancock college,english,93454,santa maria,employment,800 s. college drive,community support,veteran's services,education ","allan hancock college / veteran success center,allan hancock college,inglés,93454,santa maria,empleo,800 s. campaña universitaria,apoyo comunitario,servicios para veteranos,educación",Santa Maria,"Employment,Veteran's Services,Education ","08:00,08:00,08:00,08:00",1192,618,Santa Maria,800 S. College Drive,Building S,,,CA,,93454,(805) 922-6966,,"Veteran Success Center--Room G101, ex 3925","Veteran Success Center - Room G101, ex 3925","Employment, Veteran's Services, Education ","Empleo, servicios para veteranos, educación",34.94385460,-120.42142540,"Employment, Veteran's Services, Education ","2, 74, 33",Santa Maria;Santa Maria;Santa Maria;Santa Maria,"618, 618, 618, 618","08:00, 08:00, 08:00, 08:00","19:00, 16:00, 16:30, 12:00",;;;,"Mon, Tue, Wed, Thu;Fri;Mon, Tue, Wed, Thu;Fri","Lun, mar, mié, jue; vie; lun, mar, mié, jue; vie",General Hours;General Hours;Veteran's Services;Veteran's Services,Horas generales; Horas generales; Servicios para veteranos; Servicios para veteranos,,,,,
Alliance for Pharmaceutical Access,Alliance for Pharmaceutical Access,https://apameds.org/,English,inglés,,,"Alliance for Pharmaceutical Access (APA) is a local 501 (c)(3) non-profit advocacy organization that serves the medically underserved communities within Santa Barbara and San Luis Obispo County. Located in Santa Maria, APA Client Advocates provide patient advocacy, education and awareness of available patient assistance programs that can help clients obtain medication at a reduced cost or for free in most cases. APA’s advocacy program is designed to help our community members who most often encounter barriers to accessing healthcare such as the uninsured or underinsured and low income.","Alliance for Pharmaceutical Access (APA) es una organización local de defensa sin fines de lucro 501 (c) (3) que sirve a las comunidades médicamente desatendidas dentro de Santa Bárbara y el condado de San Luis Obispo. Ubicados en Santa María, los Defensores de Clientes de la APA brindan defensa del paciente, educación y conocimiento de los programas de asistencia al paciente disponibles que pueden ayudar a los clientes a obtener medicamentos a un costo reducido o gratis en la mayoría de los casos. El programa de defensa de la APA está diseñado para ayudar a los miembros de nuestra comunidad que con mayor frecuencia encuentran barreras para acceder a la atención médica, como personas sin seguro o con seguro insuficiente y con bajos ingresos.",medical support,Atención médica,"alliance for pharmaceutical access,english,93454,santa maria,506 east plaza drive ,medical support,medical assistance","alianza para el acceso farmacéutico,inglés,93454,santa maria,506 east plaza drive,apoyo médico,asistencia médica",Santa Maria,Medical Assistance,11:00,1080,385,Santa Maria,506 East Plaza Drive ,Suite #5,,,CA,,93454,(805) 614-2040,,,,Medical Assistance,Asistencia medica,34.93710750,-120.42968660,Medical Assistance,109,Santa Maria,385,11:00,17:00,,"Mon, Tue, Wed, Thu, Fri","Lun, mar, mié, jue, vie",,,,,,,
Allstar Recovery,Recuperación de Allstar,https://www.allstarrecoverysb.com/,English,inglés,Men,Pero,"Sober living home for men.
Cost: $700/month OR $175/week",Hogar de vida sobria para hombres. Costo: $ 700 / mes O $ 175 / semana,substance use,uso de sustancias,"allstar recovery,men,sober,living,home,700month,175week,english,93101,santa barbara,93111,sober living homes,1121 walnut ave,5018 calle real road,substance use","allstar recovery,hombres,sobrio,vivo,hogar,700 meses,175 semanas,inglés,93101,santa barbara,93111,hogares para vivir sobrios,1121 walnut ave,5018 calle real road,uso de sustancias","Santa Barbara,Santa Barbara",Sober Living Homes,,833,"27, 28","Santa Barbara, Santa Barbara","1121 Walnut Ave, 5018 Calle Real Road",,"Downtown, Uptown","Centro,Uptown","CA, CA","scott@allstarrecoverysb.com, scott@allstarrecoverysb.com","93101, 93111","(805) 698-4889, (805) 698-4889",,"Sober living home for men.
Cost: $700/month OR $175/week",Hogar de vida sobria para hombres. Costo: $ 700 / mes O $ 175 / semana,Sober Living Homes;Sober Living Homes,Viviendas sobrias; Viviendas sobrias,"34.41718580, 34.44205690","-119.71018380, -119.79762530",Sober Living Homes,3,,,,,;,;,;,;,;,,,,,
Alpha Thrift Stores,Tiendas de segunda mano Alpha,,English,inglés,,,,,"community support,clothing","apoyo comunitario,ropa","alpha thrift stores,english,93117,goleta,thrift store,93103,santa barbara,5624 hollister avenue,5949 hollister avenue,700 n. milpas street,community support,clothing","tiendas de segunda mano alpha,inglés,93117,goleta,tienda de segunda mano,93103,santa barbara,5624 hollister avenue,5949 hollister avenue,700 n. calle milpas,apoyo comunitario,ropa","Goleta,Goleta,Santa Barbara",Thrift Store,"10:00,10:00,10:00",1186,"601, 602, 608","Goleta, Goleta, Santa Barbara","5624 Hollister Avenue, 5949 Hollister Avenue, 700 N. Milpas Street",,"Goleta 1, Goleta 2, Santa Barbara","Goleta 1,Goleta 2,Santa Bárbara","CA, CA, CA",,"93117, 93117, 93103",,,,,Thrift Store;Thrift Store;Thrift Store,Tienda de segunda mano; Tienda de segunda mano; Tienda de segunda mano,"34.43596690, 34.43574960, 34.42853010","-119.82121370, -119.82984990, -119.68778830",Thrift Store,117,Goleta;Goleta;Santa Barbara,"601, 602, 608","10:00, 10:00, 10:00","17:00, 17:45, 17:45",;;,"Sun, Mon, Tue, Wed, Thu, Fri, Sat;Sun, Mon, Tue, Wed, Thu, Fri, Sat;Sun, Mon, Tue, Wed, Thu, Fri, Sat","Dom, lun, mar, mié, jue, vie, sáb; dom, lun, mar, mié, jue, vie, sáb; dom, lun, mar, mié, jue, vie, sáb",;;,;;,,,,,
American GI Forum,Foro americano GI,,English,inglés,Veterans,Veteranos,"Emergency funds for food assistance, clothing, temporary housing, transportation, and medical prescriptions","Fondos de emergencia para asistencia alimentaria, ropa, vivienda temporal, transporte y recetas médicas","community support,food,clothing,housing,transportation,medical support","apoyo comunitario,comida,ropa,vivienda,transporte,apoyo médico","american gi forum,veterans,english,93454,santa maria,720 e. el camino street,community support,food,clothing,housing,transportation,medical support,emergency funds for veterans,prescription assistance,general support","american gi forum,veteranos,inglés,93454,santa maria,720 e. calle el camino,apoyo comunitario,comida,ropa,vivienda,transporte,apoyo médico,fondos de emergencia para veteranos,asistencia con recetas,apoyo general",Santa Maria,"Clothing,Emergency Funds for Veterans,Prescription Assistance,General Support",,1237,700,Santa Maria,720 E. El Camino Street,,,,CA,,93454,(805) 478-6230,,Program Administrator—Willie Galvan 805-714-6015,Administrador del programa: Willie Galvan 805-714-6015,"Clothing, Emergency Funds for Veterans, Prescription Assistance, General Support","Ropa, Fondos de emergencia para veteranos, Asistencia con recetas, Apoyo general",34.95865880,-120.44451850,"Clothing, Emergency Funds for Veterans, Prescription Assistance, General Support","80, 219, 220, 211",,,,,,,,,,,,,,
Amistad De Santa Barbara,Amistad De Santa Barbara,,Spanish,Español,,,,,substance use,uso de sustancias,"amistad de santa barbara,spanish,93101,santa barbara,sun,mon,tue,wed,thur,fri,alcoholic anonymous,alcoholics anonymous,906 de la vina street,substance use","amistad de santa barbara,español,93101,santa barbara,dom,lun,mar,mié,jue,vie,alcohólico anónimo,alcohólicos anónimos,906 de la vina street,uso de sustancias",Santa Barbara,Alcoholics Anonymous,19:00,901,92,Santa Barbara,906 De La Vina Street,,,,CA,,93101,,,,,Alcoholics Anonymous,alcoholicos anonimos,34.41885780,-119.70292200,Alcoholics Anonymous,34,Santa Barbara,92,19:00,20:00,,"Sun, Mon, Tue, Wed, Thu, Fri","Dom, lun, mar, mié, jue, vie",,,,,,,
Andrew's Presbyterian Church,Iglesia Presbiteriana de San Andrés,http://www.standrewspcusa.org/,English,inglés,,,,,substance use,uso de sustancias,"andrew's presbyterian church,english,93110,santa barbara,mon,wed,alcoholic anonymous,alcoholics anonymous,4575 auhay drive,substance use","andrew's presbyterian church,inglés,93110,santa barbara,lun,mié,alcohólico anónimo,alcohólicos anónimos,4575 auhay drive,uso de sustancias",Santa Barbara,Alcoholics Anonymous,20:00,905,96,Santa Barbara,4575 Auhay Drive,,Grateful Group,Grupo agradecido,CA,,93110,,,,,Alcoholics Anonymous,alcoholicos anonimos,34.43732420,-119.77964340,Alcoholics Anonymous,34,Santa Barbara,96,20:00,21:00,,"Mon, Wed","Lun, mié",,,,,,,
Anger Management Specialists,Especialistas en manejo de la ira,https://www.amspecialists.org/home.html,English,inglés,,,"AMS is dedicated to provide learning opportunities to men and women to enhance their confidence, competence and clarity to navigate toward their full potential without anger and violence","AMS se dedica a brindar oportunidades de aprendizaje a hombres y mujeres para mejorar su confianza, competencia y claridad para navegar hacia su máximo potencial sin ira ni violencia.","legal services,mental health","servicios legales,salud mental","anger management specialists,english,93101,santa barbara,7 west figueroa,legal services,mental health,anger management,remote learning","especialistas en manejo de la ira,inglés,93101,santa barbara,7 west figueroa,servicios legales,salud mental,manejo de la ira,aprendizaje remoto",Santa Barbara,"Anger Management,Remote Learning",,1075,754,Santa Barbara,7 West Figueroa,,,,CA,,93101,(805) 242-2502,,Remote Learning for Santa Barbara/Lompoc/Santa Maria,Aprendizaje remoto para Santa Barbara / Lompoc / Santa Maria,"Anger Management, Remote Learning","Manejo de la ira, aprendizaje remoto",34.42212060,-119.70326720,"Anger Management, Remote Learning","39, 226",,,,,,,,,,,,,,
